algorithm,power,qos,qos_per_ue,switching,throughput,topsis_score,rank
BMPP-DQN,176.49985855570495,0.594,0.9260833333333333,0.136,1423.3513651733335,0.9107674086325563,1
DDPG,189.5381249158509,0.2846666666666667,0.8091666666666667,0.04,492.89239641460284,0.6174438071838091,2
DQN,213.36882160250343,0.428,0.8836666666666666,0.2873333333333334,694.5121742933333,0.5972567067148966,3
MP-DQN,160.2005545682907,0.5439999999999999,0.9209999999999999,1.0353333333333332,1171.270430257757,0.330361407992827,4
